feature_used,usage_month,monthly_usage_count
No Tool Recorded,2023-05,56714
No Tool Recorded,2023-06,16203
No Tool Recorded,2023-07,18206
No Tool Recorded,2023-08,23333
No Tool Recorded,2023-09,91426
No Tool Recorded,2023-10,168688
No Tool Recorded,2023-11,116859
Highlight,2023-12,37981
Snapshot,2023-12,37097
No Tool Recorded,2023-12,16804
Mobile OCR Mode,2023-12,13875
No Tool Recorded,2023-12,3878
Auto Mode,2023-12,379
Snapshot,2024-01,31100
Highlight,2024-01,23444
Mobile OCR Mode,2024-01,19675
Auto Mode,2024-01,3839
No Tool Recorded,2024-01,439
Mobile OCR Mode,2024-02,40298
Snapshot,2024-02,37076
Highlight,2024-02,22154
Auto Mode,2024-02,10521
No Tool Recorded,2024-02,31
Mobile OCR Mode,2024-03,81318
Snapshot,2024-03,31888
Highlight,2024-03,18352
Auto Mode,2024-03,12185
Mobile OCR Mode,2024-04,111840
Snapshot,2024-04,45252
Highlight,2024-04,19720
Auto Mode,2024-04,13863
Mobile OCR Mode,2024-05,106132
Snapshot,2024-05,45025
Highlight,2024-05,17299
Auto Mode,2024-05,11747
Mobile OCR Mode,2024-06,46013
Snapshot,2024-06,27591
Highlight,2024-06,11649
Auto Mode,2024-06,6878
summarize,2024-06,96
No Tool Recorded,2024-06,38
Mobile OCR Mode,2024-07,46794
Snapshot,2024-07,21362
Highlight,2024-07,8699
Auto Mode,2024-07,4722
Summarize,2024-07,25
Mobile OCR Mode,2024-08,148385
Snapshot,2024-08,28973
Highlight,2024-08,16903
Auto Mode,2024-08,4964
Summarize,2024-08,502
Mobile OCR Mode,2024-09,413909
Snapshot,2024-09,108547
Highlight,2024-09,13429
Auto Mode,2024-09,7576
Summarize,2024-09,4915
Mobile OCR Mode,2024-10,293506
Snapshot,2024-10,111886
Highlight,2024-10,10304
Auto Mode,2024-10,4687
Summarize,2024-10,3832
